City_ID,City_EN,City_CN,Province_EN,Province_CN,Admin_ district_EN,Admin_ district_CN,Latitude,Longitude,NMC_Code
CN101011600,dongcheng,东城,beijing,北京,beijing,北京,39.917545,116.418755,54511
CN101020100,shanghai,上海,shanghai,上海,shanghai,上海,31.231707,121.47264,58367
CN101030100,tianjin,天津,tianjin,天津,tianjin,天津,39.125595,117.190186,54527
CN101050101,haerbin,哈尔滨,heilongjiang,黑龙江,haerbin,哈尔滨,45.756966,126.64246,50953
CN101050311,xian,西安,heilongjiang,黑龙江,mudanjiang,牡丹江,44.58103,129.61311,57036
CN101060101,changchun,长春,jilin,吉林,changchun,长春,43.88684,125.3245,54161
CN101070101,shenyang,沈阳,liaoning,辽宁,shenyang,沈阳,41.79677,123.42909,54342
CN101080101,huhehaote,呼和浩特,neimenggu,内蒙古,huhehaote,呼和浩特,40.81831,111.6708,53463
CN101090101,shijiazhuang,石家庄,hebei,河北,shijiazhuang,石家庄,38.045475,114.502464,53698
CN101100101,taiyuan,太原,shanxi,山西,taiyuan,太原,37.857014,112.54925,53772
CN101120101,jinan,济南,shandong,山东,jinan,济南,36.675808,117.00092,54823
CN101130101,wulumuqi,乌鲁木齐,xinjiang,新疆,wulumuqi,乌鲁木齐,43.792816,87.61773,51463
CN101140101,lasa,拉萨,xizang,西藏,lasa,拉萨,29.66036,91.13221,55591
CN101150101,xining,西宁,qinghai,青海,xining,西宁,36.623177,101.778915,52866
CN101160101,lanzhou,兰州,gansu,甘肃,lanzhou,兰州,36.05804,103.823555,52889
CN101170101,yinchuan,银川,ningxia,宁夏,yinchuan,银川,38.46637,106.278175,53614
CN101180101,zhengzhou,郑州,henan,河南,zhengzhou,郑州,34.757977,113.66541,57083
CN101190101,nanjing,南京,jiangsu,江苏,nanjing,南京,32.041546,118.76741,58238
CN101200101,wuhan,武汉,hubei,湖北,wuhan,武汉,30.584354,114.29857,57494
CN101210101,hangzhou,杭州,zhejiang,浙江,hangzhou,杭州,30.287458,120.15358,57492
CN101220101,hefei,合肥,anhui,安徽,hefei,合肥,31.86119,117.28304,58321
CN101230101,fuzhou,福州,fujian,福建,fuzhou,福州,26.075302,119.30624,58847
CN101240101,nanchang,南昌,jiangxi,江西,nanchang,南昌,28.676493,115.89215,58606
CN101250101,changsha,长沙,hunan,湖南,changsha,长沙,28.19409,112.98228,57687
CN101260101,guiyang,贵阳,guizhou,贵州,guiyang,贵阳,26.578342,106.71348,57816
CN101270101,chengdu,成都,sichuan,四川,chengdu,成都,30.659462,104.065735,56294
CN101280101,guangzhou,广州,guangdong,广东,guangzhou,广州,23.125177,113.28064,59287
CN101290101,kunming,昆明,yunnan,云南,kunming,昆明,25.04061,102.71225,56778
CN101300101,nanning,南宁,guangxi,广西,nanning,南宁,22.82402,108.32001,59431
CN101310101,haikou,海口,hainan,海南,haikou,海口,20.031971,110.33119,59758
